file_name,num_ratings,apparent_age_avg,apparent_age_std,real_age
000000.jpg,36,5,1.14642300844222,4
000001.jpg,63,20.0793650793651,4.09681854260339,18
000002.jpg,38,76.8157894736842,6.13300888704189,80
000003.jpg,38,55.6578947368421,7.86465344604949,50
000004.jpg,15,17.6666666666667,3.45722156541651,17
000005.jpg,14,21.0714285714286,2.99908410927495,27
000006.jpg,39,26.9487179487179,4.3886739272138,24
000007.jpg,14,39,2.74562589193458,43
000008.jpg,22,26.9090909090909,3.55780953087833,26
000009.jpg,139,35.4604316546763,4.89937320310859,39
000010.jpg,31,18.2258064516129,2.96321534170069,17
000011.jpg,15,43.6666666666667,4.62395419321519,51
000012.jpg,39,2.41025641025641,0.78532422797844,2
000013.jpg,39,1.1025641025641,0.307354740604728,1
000014.jpg,38,6.47368421052632,1.24633174415992,6
000015.jpg,13,21.3846153846154,1.80455264717055,18
000016.jpg,23,24.3478260869565,2.60434419684729,24
000017.jpg,38,6.21052631578947,2.0422284428541,5
000018.jpg,36,40.6666666666667,5.13252931242065,40
000019.jpg,38,17.6315789473684,4.25168362601935,16
000020.jpg,37,34,4.60072458061409,29
000021.jpg,36,1,0,1
000022.jpg,26,42.9230769230769,5.79601985450759,35
000023.jpg,38,26.0789473684211,3.45145154694932,25
000024.jpg,37,4.40540540540541,0.926746383245631,5
000025.jpg,32,28.4375,4.57156357807557,30
000026.jpg,79,27.1898734177215,3.65175036838531,24
000027.jpg,22,36.8636363636364,4.52817060238779,35
000028.jpg,14,60.8571428571429,5.06658955021321,65
000029.jpg,38,17.8947368421053,3.88892727294837,13
000030.jpg,38,1.26315789473684,0.446258349990214,1
000031.jpg,22,23.1818181818182,2.87246971282244,28
000032.jpg,13,27.1538461538462,4.66987069496494,27
000033.jpg,12,16.25,2.80016233295663,16
000034.jpg,40,3.9,1.23620594085497,4
000035.jpg,15,15.7333333333333,2.05171240906805,16
000036.jpg,39,3.56410256410256,1.37256716439769,2
000037.jpg,53,36.6981132075472,4.42712315713896,31
000038.jpg,39,8.46153846153846,1.86160872487599,10
000039.jpg,38,4.86842105263158,1.25571240965478,4
000040.jpg,38,1.23684210526316,0.430851484182746,1
000041.jpg,13,29.9230769230769,3.42689214064139,34
000042.jpg,123,20.9105691056911,4.15283456441087,15
000043.jpg,19,35.8947368421053,7.75238126027599,30
000044.jpg,38,3.31578947368421,0.701552839715747,8
000045.jpg,14,26.2857142857143,4.87424268561197,20
000046.jpg,38,17.2894736842105,5.14601863809422,16
000047.jpg,18,20.7777777777778,3.4394862057402,19
000048.jpg,36,44.6388888888889,5.73287650450217,40
000049.jpg,38,8.18421052631579,2.15425742091373,10
000050.jpg,26,36.3076923076923,4.99415042440038,42
000051.jpg,34,24.1470588235294,4.00856925236179,23
000052.jpg,38,25.7894736842105,3.4575252416412,25
000053.jpg,36,1.16666666666667,0.447213595499958,1
000054.jpg,19,62.4210526315789,3.71656635849221,58
000055.jpg,30,21.2666666666667,3.89458805163704,23
000056.jpg,14,35.7857142857143,3.96481780410906,44
000057.jpg,39,4.1025641025641,1.3137906545339,7
000058.jpg,35,21.8857142857143,3.26092217714225,21
000059.jpg,80,17.9125,3.53712230170448,14
000060.jpg,14,25.3571428571429,2.9510661139309,28
000061.jpg,17,27.1764705882353,4.34792039539662,24
000062.jpg,38,7.63157894736842,1.95103649004593,10
000063.jpg,23,33.7391304347826,4.08119179679336,40
000064.jpg,73,26.1232876712329,2.83306472000951,26
000065.jpg,28,31.9642857142857,3.85363842368859,34
000066.jpg,12,59.1666666666667,4.21756787590654,48
000067.jpg,13,37.6923076923077,3.682947537517,39
